Rank,1,2,3,4,5,6,7,8,9,10
Idaho ,Colter's Creek 2010 Riesling (Idaho),Sawtooth 2011 Riesling,Koenig Vineyards 2011 Ice Wine Riesling,Colter's Creek 2011 Syrah,Cinder 2016 Off-Dry Riesling,Ste. Chapelle 2001 Johannisberg Riesling (Idaho),Ste. Chapelle 2001 Dry Riesling (Idaho),Ste. Chapelle 2001 Dry Gew�rztraminer (Idaho),Cinder 2015 Syrah,Koenig Vineyards 2014 Botrytis Single Berry Select Late Harvest Riesling
 Idaho VfM Score,94.33333333,94.26666667,94.16666667,94.13333333,93.8,93.6,93.6,93.6,93.56666667,93.5
Illinois ,Illinois Sparkling Co. NV Brut Sparkling (Illinois),Illinois Sparkling Co. NV Franken's French Hybrid Brut Sparkling (Illinois),Illinois Sparkling Co. NV Stereo Sparkling (Illinois),Illinois Sparkling Co. NV Dollface Rosé Sparkling (Illinois),Illinois Sparkling Co. NV Heirloom Sparkling Rosé Sparkling (Illinois),N/A,N/A,N/A,N/A,N/A
 Illinois VfM Score,91.26666667,90.36666667,89.86666667,89.36666667,89.33333333,N/A,N/A,N/A,N/A,N/A
Iowa ,Jasper NV J-W Rosé (Iowa),Jasper 2007 Seyval Blanc (Iowa),Jasper NV Black Road White (Iowa),Jasper 2006 Roy's Vineyard at Cherry Creek Chancellor (Iowa),N/A,N/A,N/A,N/A,N/A,N/A
 Iowa VfM Score,91.13333333,90.93333333,90.63333333,89.16666667,N/A,N/A,N/A,N/A,N/A,N/A
Kentucky ,Elk Creek Vineyards 2007 Estate Cabernet Franc (Kentucky),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
 Kentucky VfM Score,89.16666667,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Massachusetts ,Still River NV Apfel Eis Apple Ice Wine Apple (Massachusetts),Running Brook 2010 Vidal Blanc (Southeastern New England),Truro 2009 Unoaked Chardonnay (Southeastern New England),Running Brook 2010 Pinot Gris (Southeastern New England),Truro 2008 Estate Grown Chardonnay (Southeastern New England),Truro 2007 Estate Grown Cabernet Franc (Southeastern New England),N/A,N/A,N/A,N/A
 Massachusetts VfM Score,92.83333333,91.5,91.43333333,90.36666667,90.33333333,89.1,N/A,N/A,N/A,N/A
Michigan ,Chateau Grand Traverse 2013 Dry Riesling (Old Mission Peninsula),Bel Lago 2013 Chardonnay (Leelanau Peninsula),Black Star Farms 2013 Arcturos Dry Riesling (Old Mission Peninsula),Mari 2011 Cabernet Franc (Old Mission Peninsula),Bel Lago 2012 North Vineyard Pinot Noir (Leelanau Peninsula),Shady Lane 2013 Estate Dry Riesling (Leelanau Peninsula),Bowers Harbor 2013 Langley Late Harvest Riesling (Old Mission Peninsula),Left Foot Charley 2014 The Missing Spire Riesling (Michigan),Bel Lago 2013 Auxerrois (Leelanau Peninsula),St. Julian 2013 Braganini Reserve Late Harvest Vignoles (Lake Michigan Shore)
 Michigan VfM Score,94.13333333,93.63333333,93.23333333,93.06666667,93,92.86666667,92.8,92.8,92.73333333,92.66666667
Missouri ,Les Bourgeois 2011 La Belle Semi Dry White (Missouri),Mount Pleasant Winery NV Semi-Sweet Vignoles (Missouri),Augusta Winery 2009 Chambourcin (Augusta),Mount Pleasant Winery 2010 Estates Vignoles (Augusta),Les Bourgeois NV Riverboat Sweet White Wine White (Missouri),Augusta Winery 2008 Seyval Blanc (Augusta),Augusta Winery 2009 Norton (Augusta),Mount Pleasant Winery 2010 Estates Vidal Blanc (Augusta),Les Bourgeois NV Pink Fox Foxy Sweet Rosé (Missouri),Les Bourgeois 2011 Solay White (Missouri)
 Missouri VfM Score,91.96666667,91.83333333,91.83333333,91.6,91.53333333,91.4,91.3,91.1,91.03333333,90.96666667
Nevada ,Nevada Ridge 2011 Barbera (Nevada),Nevada Ridge 2011 Syrah (Nevada),Pahrump Valley Winery 2005 Nevada Ridge First Crush Zinfandel (Nevada),N/A,N/A,N/A,N/A,N/A,N/A,N/A
 Nevada VfM Score,91.03333333,89.36666667,87,N/A,N/A,N/A,N/A,N/A,N/A,N/A
New Jersey ,Heritage 2010 Estate Reserve Syrah (Outer Coastal Plain),Unionville 2010 Pheasant Hill Single Vineyard Estate Bottled Pinot Noir (New Jersey),Unionville 2010 Estate Bottled Dry Riesling (New Jersey),Alba 2005 Dry Riesling (New Jersey),Cape May 2005 Merlot (New Jersey),Heritage 2013 Estate Reserve Barrel Fermented Chardonnay (Outer Coastal Plain),Unionville 2004 Hunter's Red Reserve Meritage Red (New Jersey),Unionville 2010 Unionville Home Single Vineyard Estate Bottled Chardonnay (New Jersey),N/A,N/A
 New Jersey VfM Score,91.16666667,91.1,90.93333333,90.63333333,90.3,89.83333333,89.33333333,89.1,N/A,N/A
New Mexico ,La Chiripada 2010 Artist Series I Viognier (New Mexico),Blue Teal 2010 Riesling (New Mexico),La Chiripada 2010 Winemakers' Select White White (New Mexico),Vivac Winery 2007 Merlot (New Mexico),La Chiripada 2009 Artist Series I Viognier (New Mexico),Casa Rondeña Winery 2007 Viognier (New Mexico),Vivac Winery 2006 V. by Vivac Single Vineyard Merlot (New Mexico),D.H. Lescombes 2009 Pinot Noir (New Mexico),Vivac Winery 2009 Single Vineyard Syrah (New Mexico),Vivac Winery 2009 Petite Sirah (New Mexico)
 New Mexico VfM Score,92.66666667,92.33333333,91.93333333,91.86666667,91.66666667,91.66666667,91.33333333,91.3,91.26666667,91.23333333
New York ,Hermann J. Wiemer 2015 Dry Riesling (Seneca Lake),Fox Run 2011 Reserve Riesling (Seneca Lake),Hermann J. Wiemer 2012 Magdalena Vineyard Cabernet Franc (Seneca Lake),Keuka Spring 2014 Cabernet Franc (Finger Lakes),Boundary Breaks 2014 No. 239 Single Vineyard Riesling (Finger Lakes),Hermann J. Wiemer 2013 Dry Riesling (Seneca Lake),Anthony Nappa 2014 Bordo Cabernet Franc (North Fork of Long Island),Boundary Breaks 2012 Single Clone No. 239 Riesling (Finger Lakes),Hermann J. Wiemer 2015 Magdalena Vineyard Riesling (Seneca Lake),Hermann J. Wiemer 2015 Reserve Dry Riesling (Seneca Lake)
 New York VfM Score,95.23333333,95,94.86666667,94.73333333,94.73333333,94.73333333,94.66666667,94.66666667,94.6,94.56666667
North Carolina ,Raffaldini 2011 Sangiovese (Swan Creek),Shelton Vineyards 2002 Riesling (North Carolina),Biltmore Estate 2010 Reserve Chardonnay (North Carolina),Raffaldini 2007 Montepulciano (Swan Creek),Shadow Springs 2011 Cabernet Franc (Yadkin Valley),Raffaldini 2012 Riserva Sangiovese (Swan Creek),Laurel Gray 2012 Estate Grown Cabernet Franc (Swan Creek),Raffaldini 2011 Riserva Montepulciano (Swan Creek),Raffaldini 2011 Montepulciano (Swan Creek),Raffaldini 2009 Pinot Grigio (Swan Creek)
 North Carolina VfM Score,93.8,92.33333333,92,91.86666667,91.86666667,91.46666667,91.1,91.06666667,91.03333333,90.93333333
Ohio ,Debonne 2009 Chardonnay (Grand River Valley),Debonne 2009 Reserve Lot 907 Riesling (Grand River Valley),Debonne 2006 Reserve Riesling (Grand River Valley),Debonne 2008 Reserve Riesling (Grand River Valley),Debonne 2008 Reserve Riesling (Grand River Valley),Firelands 2005 Estate Bottled Cabernet Sauvignon (Isle St. George),Debonne 2006 Lot 707 Reserve Riesling (Grand River Valley),Debonne 2007 Vintner's Selection Chardonnay (Grand River Valley),Debonne 2009 Cabernet Franc (Grand River Valley),Debonne 2008 Lot 807 Reserve Riesling (Grand River Valley)
 Ohio VfM Score,92.76666667,92,91.26666667,91.2,91.2,91.2,91,90.86666667,90.5,90.5
Oregon ,The Eyrie Vineyards 2014 Estate Chardonnay (Dundee Hills),Sineann 2015 TFL Pinot Noir (Willamette Valley),Sineann 2013 Riesling (Oregon),Trisaetum 2016 Ribbon Ridge Estate Dry Riesling (Ribbon Ridge),David Hill 2013 Estate Riesling (Willamette Valley),Timothy Malone 2016 Medici Vineyard Riesling (Chehalem Mountains),Trisaetum 2014 Wichmann Dundee Estate Riesling (Dundee Hills),Amity 2013 Riesling (Willamette Valley),Trisaetum 2015 Estates Reserve Riesling (Willamette Valley),David Hill 2010 Estate Pinot Gris (Willamette Valley)
 Oregon VfM Score,96.2,96,95.9,95.86666667,95.8,95.66666667,95.63333333,95.53333333,95.46666667,95.43333333
Pennsylvania ,Chaddsford 2000 Philip Roth Vineyard Chardonnay (Pennsylvania),Chaddsford 2007 Cabernet Sauvignon (Pennsylvania),Chaddsford 2007 Merlot (Pennsylvania),Chaddsford 2007 Merlot (Pennsylvania),Chaddsford 2007 Syrah (Pennsylvania),Chaddsford 2005 Syrah (Pennsylvania),Chaddsford 2007 Spring Wine White (Pennsylvania),Chaddsford 2005 Barrel Select Pinot Noir (Pennsylvania),Chaddsford 2006 25th Vintage Rubino Super-Tuscan Style Blend Red (Pennsylvania),Chaddsford 2007 Rosé Chambourcin (Pennsylvania)
 Pennsylvania VfM Score,93.3,91.73333333,91.3,91.3,91.23333333,91.13333333,91.13333333,91.03333333,91.03333333,91
Rhode Island ,Sakonnet 1995 Samson Brut  (Southeastern New England),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
 Rhode Island VfM Score,93.33333333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Texas ,McPherson 2014 Les Copains Red (Texas),McPherson 2015 Timmons Ranch Piquepoul Blanc (Texas),McPherson 2014 La Herencia Red (Texas),McPherson 2015 Les Copains Dry Rosé (Texas),McPherson 2015 Castaño Prado Vineyards Albariño (Texas),Messina Hof 2007 Double Barrel Cabernet Franc (Texas),Messina Hof 2007 Double Barrel Cabernet Franc (Texas),Brennan 2015 Cellar Select Viognier (Texas),Haak 2014 Cabernet Sauvignon (Texas High Plains),Brennan 2015 Reddy Vineyard Roussanne (Texas High Plains)
 Texas VfM Score,93.13333333,93.13333333,93.13333333,92.63333333,92.63333333,92.56666667,92.56666667,92.33333333,92.33333333,92.3
Vermont ,Snow Farm 2006 Late Harvest Vignoles (Vermont),Snow Farm 2007 Icewine Vidal Blanc (Vermont),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
 Vermont VfM Score,90.33333333,89.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Virginia ,Lovingston 2012 Josie's Knoll Merlot (Monticello),King Family 2015 Orange Viognier (Monticello),Lovingston 2015 Josie's Knoll Rotunda Red (Monticello),Fabbioli Cellars 2010 Tannat (Virginia),Tarara 2010 Cabernet Franc (Virginia),Rosemont NV Virginia Red (Virginia),Linden 2010 Boisseau Cabernet Sauvignon-Merlot (Virginia),Barboursville Vineyards 2015 Reserve Cabernet Franc (Virginia),Lovingston 2009 Josie's Knoll Merlot (Monticello),Cedar Creek 2011 Estate Bottled Cabernet Franc (Shenandoah Valley)
 Virginia VfM Score,94.16666667,93.66666667,93.66666667,93.56666667,93.46666667,93.43333333,93.33333333,93.33333333,93.23333333,93.23333333
Washington ,Rulo 2007 Syrah (Columbia Valley (WA)),Dunham 2010 Lewis Estate Vineyard Riesling (Columbia Valley (WA)),Januik 2012 Bacchus Vineyard Riesling (Columbia Valley (WA)),Poet's Leap 2009 Riesling (Columbia Valley (WA)),Efeste 2009 Lola Chardonnay (Columbia Valley (WA)),Buty 2008 S�millon-Sauvignon-Muscadelle Semillon-Sauvignon Blanc (Columbia Valley (WA)),McCrea 2008 Boushey Vineyard Sirocco Blanc White (Yakima Valley),Southard 2010 Whipping Boy Cabernet Sauvignon (Columbia Valley (WA)),Stottle 2011 Lucille Late Harvest Viognier (Yakima Valley),Pirouette 2008 Red Wine Red (Columbia Valley (WA))
 Washington VfM Score,96.66666667,96.16666667,96.16666667,96.16666667,96,95.83333333,95.83333333,95.83333333,95.8,95.66666667
